id,displayName,postalCode,address1,city,country,state,intersection,phonePharmacy,phone,latitude,longitude,timezone,openDate,licenceNumber,businessAddr,pharmacyManager,email,website
1029,"STOUFFVILLE, ON",L4A 0K2,1050 Hoover Pk Dr,Stouffville,CA,ON,Highway 48 & Hoover Park Dr,905-640-9533,905-640-8848,43.955905,-79.274456,EST,11/08/2006 00:00,300943,"1050 HOOVER PARK DRIVE, STOUFFVILLE, ON L4A 0G9",Amin Hirji,,
3653,"UXBRIDGE, ONTARIO",L9P 1Z7,6 Welwood Dr,Uxbridge,CA,ON,Hwy 47 & Welwood Rd,905-862-0735,905-862-0721,44.088681,-79.134093,EST,01/30/2003 00:00,40636,"6 WELWOOD RD., UXBRIDGE, ON L9P 1Y4",Eni Rambi,,
5778,"AURORA, ON",L4G 0G2,135 First Commerce Dr,Aurora,CA,ON,Hwy. 404 & Wellington St.,905-713-6718,905-841-0300,44.014961,-79.411751,EST,01/17/2008 00:00,301268,"135 FIRST COMMERCE DRIVE, AURORA, ON L4G 0G2",Robert Tran,,
1012,KESWICK,L4P 0E2,23550 Woodbine Ave,Keswick,CA,ON,Glenwoods Ave. & Woodbine Ave.,,905-476-1729,44.219675,-79.448091,EST,10/01/2010 00:00,302079,"23550 WOODBINE AVENUE, KESWICK, ON L4P 3E9",Dieu Ly,,
1023,"PARRY SOUND, ON",P2A 3C3,1 Pine Dr,Parry Sound,CA,ON,Highway 69 & Bowes Street,,705-746-1573,45.343925,-80.010183,EST,01/25/2005 00:00,300437,"1 PINE DRIVE, PARRY SOUND, ON P2A 3C3",Sushma Mashru,,
1039,"COLLINGWOOD, ON",L9Y 0A1,10 Cambridge St,Collingwood,CA,ON,First St Extention & High St,,705-445-9262,44.500853,-80.23782,EST,01/19/2006 00:00,300702,"10 CAMBRIDGE STREET, COLLINGWOOD, ON L9Y 0A1",Alex Aitken,,
1041,"NAPANEE, ON",K7R 3L1,89 Jim Kimmett Blvd,Napanee,CA,ON,Highway 401 & Centre St North,,613-354-3100,44.2584,-76.9614,EST,01/19/2006 00:00,300701,"89 JIM KIMMETT BOULEVARD. NAPANEE, ON K7R 3L1",Pawanpreet Duggal,,
1042,HAMILTON SE,L0R 1P0,2190 Rymal Rd E,Hannon,CA,ON,Rymal Road & Swayze Road,,905-692-7000,43.173251,-79.783957,EST,01/26/2006 00:00,300703,"2190 RYMAL ROAD EAST, HAMILTON, ON L0R 1P0",Mohammad Kabir,,
1054,"BRACEBRIDGE, ON",P1L 0H1,40 Depot Dr Rr7,Bracebridge,CA,ON,HIGHWAY 11 & TAYLOR ROAD,705-646-9787,705-646-0550,45.049001,-79.292123,EST,09/19/2007 00:00,301140,"40 DEPORT DRIVE, BRACEBRIDGE, ON P1L 0A1",Earl MacNight,,
1056,"OSHAWA EAST, ON",L1J 0B5,680 Laval Dr,Oshawa,CA,ON,Highway 401 & Stevenson Road,905-404-1843,905-438-1400,43.880332,-78.88224,EST,01/17/2008 00:00,301269,"680 LAVAL DRIVE, OSHAWA, ON L1J 0B5",Dhrupadkumar Patel,,
1059,"PORT ELGIN, ON",N0H 2C0,5122 On-21,Port Elgin,CA,ON,Hwy 21 & Barnes Ave,833-812-5536,519-389-6150,44.4166,-81.4166,EST,01/17/2009 00:00,301496,"5122 HIGHWAY 21, PORT ELGIN, ON N0H 2C0",Paras Patel,,
1069,"PORT PERRY., ON",L9L 1B5,1535 Hwy 7a,Port Perry,CA,ON,6 Scugog Line & Hwy 7 A,,905-985-1531,44.093997,-78.962997,EST,07/29/2011 00:00,302361,"1535 HIGHWAY 7A, PORT PERRY, ON L9L 1B5",Deven Ramani,,
1083,"ALLISTON, ON",L9R 0G1,30 Dunham Dr,Alliston,CA,ON,Highway 89 & County Road #10,,705-435-7100,44.162388,-79.823176,EST,01/27/2010 00:00,301857,"30 DUNHAM DRIVE, ALLISTON, ON L9R 0G1",Gregory Rachevsky,,
1087,"WASAGA BEACH, ON",L9Z 0C1,100 Stonebridge Blvd,Wasaga Beach,CA,ON,Highway 92 & Main Street,705-422-0406,705-422-7100,44.524864,-80.006753,EST,07/28/2007 00:00,631445,"100 STONEBRIDGE BOULEVARD, WASAGA BEACH, ON L9Z 0C1",Gaurav Patel,,
1101,"BRADFORD,ON",L3Z 0C1,545 Holland St W,Bradford,CA,ON,Hwy 88 & 10 Sideroad,905-775-0102,905-775-1610,44.109496,-79.596744,EST,01/17/2009 00:00,301497,"545 HOLLAND STREET WEST, BRADFORD, ON L3Z 0C1",Chetankumar Patel,,
1107,"DUNDAS, ONTARIO",L9H 0C2,90 Dundas St E,Waterdown,CA,ON,Hwy. 6 & Hwy. 5 (Dundas St.),,905-690-7090,43.316638,-79.90893,EST,09/23/2009 00:00,301759,"90 DUNDAS STREET EAST, WATERDOWN , ON L9H 7K6",Danny Ricci,,
1121,Hamilton Centre,L8H 2V2,1115 Barton St E,Hamilton,CA,ON,Ottawa Street N. & Barton Street E.,,905-548-6680,43.25117,-79.815038,EST,11/16/2012 00:00,303039,"1115 BARTON STREET EAST, HAMILTON, ON L8H 2V2",Malay Vora,,
1125,Stratford,N5A 3K1,920 Ontario St,Stratford,CA,ON,Ontario St and C.H. Meier Blvd,519-272-1295,519-272-0995,43.3721,-80.9491,EST,11/29/2013 00:00,303680,"920 ONTARIO ST., STRATFORD , ON N5A 3K1",Andrea Reichert,,
1130,Fergus,N1M 2L1,801 St David St N,Fergus,CA,ON,St. David Street N. & Gordon Street,519-843-3436,519-843-1591,43.71315,-80.390007,EST,11/16/2012 00:00,303040,"801 ST. DAVID STREET NORTH, FERGUS, ON N1M 2L1",Nirav Patel,,
1161,NEWMARKET EAST,L3Y 8X2,1111 Davis Dr,Newmarket,CA,ON,Davis Drive & Leslie Street,,905-830-9243,44.066262,-79.429875,EST,08/24/2012 00:00,302899,"1111 DAVIS DRIVE, NEWMARKET, ON L3Y 8X2",Sofia Massad,,
3001,"AJAX, ONTARIO",L1Z 1G1,270 Kingston Rd E R R # 1,Ajax,CA,ON,Salem Rd & Kingston Rd,905-426-6166,905-426-6160,43.866827,-79.012721,EST,03/16/1994 00:00,36452,"270 KINGSTON RD. EAST,RR #1,  AJAX, ON L1S 4S7",Mohammed Din,,
3005,"BRANTFORD, ONTARIO",N3R 5L7,1-300 King George Rd,Brantford,CA,ON,King Georges Rd &24 Hwy,519-756-6503,519-759-3450,43.182055,-80.28124,EST,03/16/1994 00:00,3913,"BRANTFORD MALL, 300 KING GEORGE ROAD, BRANTFORD, ON N3R 5L7",Biljana Brankovic,,
3020,"CORNWALL, ONTARIO",K6J 0B3,420 Ninth St W,Cornwall,CA,ON,Brookdale Ave & 9th Ave.,613-933-3820,613-933-8366,45.024676,-74.749672,EST,03/16/1994 00:00,304345,"BROOKDALE MALL, 960 BROOKDALE AVENUE, CORNWALL, ON K6J 4P5",Nagi Sedik,,
3043,"KINGSTON, ONTARIO",K7P 2X9,1130 Midland Ave,Kingston,CA,ON,Midland Ave & Cataraqui Woods Dr,613-384-1645,613-384-9071,44.2644,-76.571595,EST,03/16/1994 00:00,3871,"1130 MIDLAND AVENUE, KINGSTON, ON K7P 2X9",Hiteshkumar Patel,,
3062,"NEWMARKET, ONTARIO",L3Y 8S4,17940 Yonge St,Newmarket,CA,ON,Bristol Rd & Yonge St,905-853-6090,905-853-8811,44.066302,-79.484973,EST,03/16/1994 00:00,33876,"17940 YONGE STREET, NEW MARKET, ON L3Y 8S4",Andrew Chan,,
3110,"WELLAND, ONTARIO",L3B 0A1,102 Primeway Dr,Welland,CA,ON,Highway 406 & Woodlawn Road,905-735-3400,905-735-3500,43.017633,-79.226707,EST,03/16/1994 00:00,34972,"102 PRIMEWAY DRIVE, WELLAND, ON L3B 0A1",Selasi Badasu,,
3113,"WHITBY, ONTARIO",L1R 3H8,4100 Baldwin St S,Whitby,CA,ON,Baldwin St & Taunton Rd,905-576-7270,905-655-0206,43.918465,-78.959866,EST,03/16/1994 00:00,4051,"4100 BALDWIN STREET SOUTH, WHITBY , ON L1R 3H8",Munib Abdulmalik ,,
3114,S. WINDSOR GATEWAY PLAZA,N9E 1S7,3120 Dougall Ave,Windsor,CA,ON,Dougall Ave & Norfolk St,519-969-5131,519-969-8121,42.269958,-83.011975,EST,03/16/1994 00:00,3855,"3120 DOUGALL AVENUE, GATEWAY PLAZA, WINDSOR, ON N9E 1S7",Abey John,,
3127,"ANCASTER, ON",L9G 3K9,1051 Garner Rd W,Ancaster,CA,ON,Highway 53 & Highway 2,905-648-3517,905-648-9980,43.198284,-80.013099,EST,11/11/1995 00:00,32396,"1051 GARNER ROAD  WEST, ANCASTER, ON L9G 3K9",Mahmood Najak,,
3128,"TEMISKAMING SHORES,ON",P0J 1P0,133 Hwy # 11,Temiskaming Shores,CA,ON,Highway 11 North,705-647-5210,705-647-6344,47.533,-79.666,EST,06/03/1995 00:00,31932,"133 HIGHWAY #11, NEW LISKEARD  , ON P0J 1P0",Patience Okonkwo ,,
3141,"BURLINGTON, S, ON",L7R 0B4,2065 Fairview St,Burlington,CA,ON,Brant St & Fairview St,905-637-3321,905-637-3100,43.338123,-79.813354,EST,01/17/2009 00:00,301501,"2065 FAIRVIEW STREET, BURLINGTON, ON L7R 0B4",Aviral Dube,,
3142,"ORANGEVILLE, ON",L9W 2E8,95 1st St,Orangeville,CA,ON,First St & Fifth Ave,519-940-9558,519-940-0018,43.928949,-80.094578,EST,10/29/1997 00:00,36052,"95 - 1ST STREET, ORANGEVILLE, ON L9W 2E8",Fayaiz Ahmed,,
3166,BARRIE NORTH ON,L4M 5A2,450 Bayfield St,Barrie,CA,ON,Bayfield St & Livingstone St W,705-728-5822,705-728-2833,44.410442,-79.70852,EST,08/20/1999 00:00,37716,"450 BAYFIELD STREET, BARRIE, ON L4M 5A2",Angela Miller,,
3645,"MIDLAND, ONTARIO",L4R 0A9,16845 Hwy # 12,Midland,CA,ON,Hwy 12 & King St,705-528-0608,705-526-4754,44.7332,-79.8731,EST,01/30/2003 00:00,40644,"16845 HWY #12, RR#1, MIDLAND, ON L4R 4K3",Susan Donaldson,,
3649,"FORT ERIE, ON",L2A 1N7,750 Garrison Rd,Fort Erie,CA,ON,Garrison Rd & Thompson Rd,905-991-1025,905-991-9971,42.905224,-78.9434,EST,01/30/2003 00:00,40652,"750 GARRISON ROAD, FORT ERIE, ON L2A 1N7",Urvi Patel,,
5742,"BOLTON, ONT",L7E 2Y3,150 Mcewan Dr E,Bolton,CA,ON,Hwy #50 & Mcewan Dr,,905-857-7004,43.864675,-79.710134,EST,01/29/2004 00:00,300127,"150 McEWAN DRIVE EAST, BOLTON , ON L7E 2Y3",Mandip Sandhur,,
5743,"HUNTSVILLE, ONT",P1H 2P4,111 Howland Dr,Huntsville,CA,ON,Hwy. 11 & Hwy.  60,,705-787-1137,45.342532,-79.231123,EST,01/29/2004 00:00,300129,"UNIT #10, 111 HOWLAND DRIVE, HUNTSVILLE , ON P1H 2P4",David Griffiths,,
1014,"ANTIGONISH, NS",B2G 3B4,# 50 Market St,Antigonish,CA,NS,,,902-867-1279,45.610495,-62.012758,AST,12/02/2004 00:00,834,"50 MARKET STREET, ANTIGONISH, NS B2G 3B4",Krista Maclaughlin,,
1016,"YARMOUTH, NS",B5A 2T5,108 Starrs Rd,Yarmouth,CA,NS,Highway 101 & Starrs Road,902-749-1067,902-749-2306,43.84338,-66.100702,AST,01/19/2006 00:00,859,"108 STARRS ROAD, YARMOUTH, NS B5A 2T5",Philip D'Endremont,,
1017,"DIGBY, NS",B0V 1A0,492 Hwy 303 Post Box 2140,Digby,CA,NS,Highway 101 & Route 303,,902-245-6020,44.599543,-65.770705,AST,01/27/2005 00:00,840,"492 HIGHWAY #303, DIGBY, NS B0V 1A0",Philip Theriault,,
1176,Dartmouth South,B2V 2J5,900 Cole Harbour Rd,Dartmouth,CA,NS,Cole Harbour Rd. & Caldwell Rd.,902-462-4339,902-462-6236,44.671012,-63.500517,AST,10/31/2012 00:00,1002,"900 COLE HARBOUR ROAD, DARTMOUTH, NS B2V 2J5",Tasha McNutt,,
1177,Greenwood,B0P 1N0,1065 Central Ave,Greenwood,CA,NS,Central Ave & Kingswood Rd,,902-765-8863,44.96622,-64.921805,AST,10/19/2012 00:00,1001,"1065 CENTRAL AVENUE, GREENWOOD, NS B0P 1N0",Matthew Langille ,,
3021,DARTMOUTH NOVA SCOTIA,B3B 0B5,90 Lamont Terr,Dartmouth,CA,NS,Hwy 118 & Wright Ave. Exit,902-469-2568,902-461-4474,44.697089,-63.568242,AST,03/16/1994 00:00,632,"90 LAMONT TERRACE, DARTMOUTH, NS B3B 0B5",Paul MacKinnon,,
3058,"N BATTLEFORD, SK",S9A 4A9,601 Carlton Trail,North Battleford,CA,SK,Carlton Trail & Territorial Drive,306-445-8108,306-445-8105,52.762646,-108.273155,CST,03/16/1994 00:00,289,"601 CARLTON TRAIL, NORTH BATTLEFORD, SK S9A 4A9",Dylan Hope,,
3061,NEW GLASGOW NOVA SCOTIA,B2H 2J6,713 Westville Rd,New Glasgow,CA,NS,Westville Rd & Highway 104,,902-928-0008,45.578191,-62.665561,AST,03/16/1994 00:00,618,"713 WESTVILLE ROAD, NEW GLASGOW, NS B2H 2J6",Sherri MacEwan,,
3068,"PORT HAWKESBURY, NS",B9A 3J9,47 Paint St Unit 17,Port Hawkesbury,CA,NS,Highway 4a & Tamarac Dr,902-625-0965,902-625-0954,45.617527,-61.332441,AST,03/16/1994 00:00,619,"17-47 PAINT STREET, PORT HAWKESBURY, NS B9A 3J9",Pamela Collins,,
3081,SACKVILLE NOVA SCOTIA,B4A 0C2,141 Damascus Rd,Bedford,CA,NS,Hwy. 102 & Duke Street Bedford/Sackville,902-865-4183,902-865-4000,44.752903,-63.643445,AST,03/16/1994 00:00,620,"141 DAMASCUS ROAD, BEDFORD, NS B4A 0C2",Tracy Thompson Doucet,,
3138,"HALIFAX, NOVA SCOTIA",B3S 1C5,220 Chain Lake Dr,Halifax,CA,NS,Highway 102 & Chain Lake Dr,902-450-5573,902-450-5570,44.654634,-63.67568,AST,09/25/1996 00:00,670,"220 CHAIN LAKE DRIVE, HALIFAX, NS B3S 1C5",Wanda Lehman,,
3184,"TRURO, NS",B2N 7H3,140 Wade Rd,Truro,CA,NS,Hwy 107 & Truro Heights Rd,902-893-5587,902-893-5582,45.354023,-63.304769,AST,11/15/2001 00:00,781,"140 WADE ROAD, TRURO, NS B2N 7H3",Kari Lennerton,,
3738,"NEW MINAS, NS",B4N 3E7,9121 Commercial St,New Minas,CA,NS,Commercial St & Jones Rd,902-681-3653,902-681-4271,45.067378,-64.453556,AST,01/30/2003 00:00,806,"9121 COMMERCIAL STREET, NEW MINAS, NS B4N 3E7",Brodie Rhodes,,
5790,WEYBURN SASKATCHEWAN,S4H 3N9,1000 Sims Ave,Weyburn,CA,SK,Sims Ave & Hwy 13,639-219-0010,306-842-6030,49.6573,-103.867,CST,11/13/2003 00:00,602,"1000 SIMS AVENUE, WEYBURN, SK S4H 3N9",Chantal Shaw ,,
1008,"DRAYTON VALLEY, AB",T7A 0A5,5217 Power Centre Blvd,Drayton Valley,CA,AB,Highway 22 & 50 Avenue,780-514-3214,780-514-3207,53.224006,-114.99993,MST,01/27/2005 00:00,1778,"5217 POWER CENTRE BLVD. P.O. BOX 7618, DRAYTON VALLEY, AB. T7A 0A5",Keith Jones,,
1009,"WHITECOURT, AB",T7S 1X6,4215 -52 Avenue,Whitecourt,CA,AB,Dahl Rd & 52nd St Extension,,780-706-3323,54.140719,-115.671272,MST,11/12/2004 00:00,1761,"5005 DAHL DRIVE, WHITECOURT, AB. T7S 1P6",Craig Dyck,,
1034,"STETTLER, ALBERTA",T0C 2L2,4721 70 St,Stettler,CA,AB,Hwy 12 & 70th St,,403-742-4404,52.321735,-112.739655,MST,09/23/2004 00:00,1749,"4721 - 70th Street, Stettler, AB. T0C 2L1",Dhavalkumar Patel,,
1048,EDSON AB,T7E 0A1,5750 2nd Ave,Edson,CA,AB,2nd Ave (Highway 16) & 58th St,780-723-6347,780-723-6357,53.576339,-116.44825,MST,01/31/2006 00:00,1900,"5750 - 2ND AVENUE, EDSON, AB. T7E 0A1",Varghese Paul,,
1049,STRATHMORE AB,T1P 0A8,200 Ranch Market,Strathmore,CA,AB,Highway 1 & Eastern Boundary Rd,403-934-3338,403-934-9776,51.038154,-113.380164,MST,01/26/2006 00:00,1863,"200 RANCH MARKET, STRATHMORE, AB. T1P 0A8",Fady Salama,,
1062,"WAINWRIGHT, AB",T9W 0A2,2901 13th Ave,Wainwright,CA,AB,Highway 14 & Highway 41,780-842-3166,780-842-3144,52.842352,-110.828452,MST,01/24/2007 00:00,1940,"2901-13TH AVE. WAINWRIGHT , AB. T9W 0A1",Parth Patel,,
1068,"PEACE RIVER, AB",T8S 0A3,9701-78 St,Peace River,CA,AB,78 Street & 97 Avenue,780-624-8970,780-624-8911,56.235488,-117.339261,MST,06/11/2008 00:00,2119,"9701 - 78 STREET, PEACE RIVER, AB. T8S 0A3",Shellyann James,,
1070,"PINCHER CREEK, AB",T0K 1W0,1100 Table Mountain St,Pincher Creek,CA,AB,Highway 3 & Table Mountain Road,403-627-1730,403-627-1790,49.498405,-113.947656,MST,01/24/2007 00:00,1941,"1100 TABLE MOUNTAIN, PINCHER CREEK , AB. T0K 1W0",Heng Liu,,
1071,"VEGRVILLE, AB",T9C 0A2,6809 Hwy 16a W,Vegreville,CA,AB,Highway 16a & Highway 16,780-632-6044,780-632-6016,53.505905,-112.085152,MST,01/24/2007 00:00,1942,"6809 HIGHWAY 16A WEST, VEGREVILLE, AB. T9C 0A2",Uzma Saeed,,
1078,"LETHBRIDGE NORTH, AB",T1H 5P3,3195 26th Ave N,Lethbridge,CA,AB,28 Avenue North & 28 Street South,403-380-6807,403-380-6722,49.727245,-112.793505,MST,11/07/2007 00:00,2019,"3055 - 26 AVENUE, LETHBRIDGE, AB. T1H 5P4",Mina Ghaly,,
1097,"CALGARY, SAGE-HILL., AB",T3R 0S4,35 Sage Hill Gate Nw,Calgary,CA,AB,Symons Valley Prkwy NW & Sage Hill Gate NW,,587-230-8411,51.169121,-114.14357,MST,01/29/2015 00:00,2864,"35 Sage Hill Gate NW, Sage Hill, AB. T3R 0S4",Mohamed Zainulabideen,,
1102,"SYLVAN LAKE, AB",T4S 0B6,3420 47th Ave,Sylvan Lake,CA,AB,47th Ave & Hwy 20,403-887-7640,403-887-7590,52.30469,-114.073904,MST,07/30/2008 00:00,2194,"3420 - 47 AVENUE, SYLVAN LAKE, AB. T4S 0B6",RHODORA PINGOL,,
3038,"HINTON, ALBERTA",T7V 1Y6,# 100 900 Carmichael Lane,Hinton,CA,AB,Hwy 16 & Carmicheal Lane,780-865-1575,780-865-1421,53.381288,-117.625884,MST,03/16/1994 00:00,1101,"PARKS WEST MALL, #100 - 900 CARMICHAEL LANE, HINTON, AB. T7V 1Y6",Stuart Richards,,
3048,"LETHBRIDGE, ALBERTA",T1K 7T6,3700 Mayor Magrath Dr S,Lethbridge,CA,AB,Highway 5 & 28th Street South,403-328-8151,403-328-6277,49.656618,-112.795529,MST,03/16/1994 00:00,346,"3700 MAYOR MAGRATH DRIVE SOUTH, LETHBRIDGE, AB. T1K 7T6",REBECCA TOONE,,
3087,"ST ALBERT, ALBERTA",T8N 7A5,700 St Albert Trail,St. Albert,CA,AB,Saint-Albert Tr and Villeneuve Rd,780-458-3597,780-458-1629,53.659867,-113.633898,MST,03/16/1994 00:00,1098,"700 ST. ALBERT ROAD., ST. ALBERT, AB. T8N 7A5",Shawna Burrell-Peacock,,
3112,"WETASKIWIN, ALBERTA",T9A 3T5,3600 56th St Suite 300,Wetaskiwin,CA,AB,Highway 2a & 36 Ave,780-352-8494,780-352-8093,52.952814,-113.390279,MST,03/16/1994 00:00,1102,"#300 DENHAM LANDING, 3600 - 56TH ST, WETASKIWIN, AB. T9A 3T5",Umar Muhammed,,
3150,"MEDICINE HAT, AB",T1B 0G4,2051 Strachan Rd S E,Medicine Hat,CA,AB,Highway 1 & Dunnmore Rd,403-526-1444,403-504-4410,49.999046,-110.651309,MST,09/26/1997 00:00,1284,"1820 STRACHAN RD. S.E. MEDICINE HAT, AB. T1B 4J8",DOUGLAS HANTIUK,,
3157,"FT. MCMURRAY, ALBERTA",T9H 5E4,# 2 Hospital St,Fort Mcmurray,CA,AB,Hospital St & Manning Ave,780-790-6080,780-790-6012,56.722087,-111.357209,MST,01/29/1999 00:00,1357,"#2 HOSPITAL STREET, FORT MCMURRAY, AB. T9H 5E4",MUHAMMAD AZEEM,,
3181,"CAMROSE, AB",T4V 4T1,6800 48th Ave,Camrose,CA,AB,48th Ave & 68rd St,,780-608-1211,53.0175,-112.865,MST,08/24/2000 00:00,1445,"UNIT#400 CORNERSTONE, 6800 48TH AVENUE, CAMROSE, AB. T4V 4T1",Hannah Schieck,,
3637,"SPRUCE GROVE, AB",T7X 4H4,90 Campsite Rd,Spruce Grove,CA,AB,Highway 16a & Campsite Rd,780-962-9053,780-962-9002,53.539308,-113.933268,MST,11/15/2001 00:00,1522,"90 CAMPSITE RD. , SPRUCE GROVE , AB. T7X 4H4",Colin O\'Shea,,
3640,"COLD LAKE, ALBERTA",T9M 1M9,4702 43rd Ave,Cold Lake,CA,AB,50th St & 43rd Ave,780-840-2343,780-840-2340,54.40707,-110.200624,MST,10/04/2001 00:00,1514,"4702-43 AVENUE, COLD LAKE, AB. T9M 1M9",Curtis Dahlseide,,
3658,BROOKS ALBERTA,T1R 1L5,917 3rd St W,Brooks,CA,AB,Upland Blvd & 3rd St W,403-501-5552,403-793-2111,50.576678,-111.900108,MST,10/03/2002 00:00,1582,"917 3RD STREET WEST, BROOKS, AB. T1R 1L5",Christen Moffatt,,
5753,FORT SASK. ALBERTA,T8L 4N3,9551 87th Ave,Fort Saskatchewan,CA,AB,Hwy 15 & Hwy 21,,780-998-3633,53.696681,-113.21119,MST,08/21/2003 00:00,1664,"9551 - 87 AVENUE, FORT SASKATCHEWAN, AB. T8L 4N3",Melanie Henderson,,
1011,"TRAIL, BC",V1R 4Y1,1601 Marcolin Dr,Trail,CA,BC,Hwy 3b & Theatre Rd,,250-364-2688,49.085001,-117.622057,PST,11/25/2004 00:00,20944,"1601 MARCOLIN DRIVE, TRAIL, BC V1R 4Y1",Marlise Swankhuizen,,
1015,"SQUAMISH, BC",V8B 0N1,39210 Discovery Way,Squamish,CA,BC,Commercial Way & Sea To Sky Highway,604-815-4630,604-815-4337,49.721527,-123.150534,PST,11/22/2006 00:00,22377,"39210 DISCOVERY WAY, SQUAMISH, BC V8B 0N1",Raelene Vandenbosch ,,
1036,"MERRITT, BC",V1K 0A4,100-3900 Crawford Ave,Merritt,CA,BC,Highway 5 & Voght Street,250-315-1371,250-315-1366,50.12188,-120.763419,PST,01/19/2006 00:00,21725,"100-3900 CRAWFORD AVE, MERRITT, BC V1K 0A4",Tracey Schmidt,,
1077,"CAMPBELL RIVER,BC",V9W 8E5,1477 Island Hwy,Campbell River,CA,BC,16 Avenue & Inland Island Highway,,250-287-3631,50.030858,-125.261673,PST,06/18/2010 00:00,25475,"1477 ISLAND HWY, CAMPBELL RIVER,BC V9W 8E5",Ryan Henderson,,
1093,"WESTBANK, BC",V4T 3E5,2170 Louie Dr,Westbank,CA,BC,Elk Rd & Louie Dr,250-768-1759,250-768-2417,49.8403,-119.61437,PST,09/17/2008 00:00,23912,"2170 LOUIE DRIVE, WESTBANK, BC V4T 3E5",Marisol Sohn,,
1100,Salmon Arm,V1E 3J9,2991 A 9th Ave Sw,Salmon Arm,CA,BC,TRANS-CANADA HIGHWAY & 30TH STREET NE,250-803-4403,250-803-4400,50.693889,-119.319022,PST,11/08/2013 00:00,30825,"2991A - 10 AVE SW, SALMON ARM, BC V1E 3J9",Dino Santos,,
1106,"WILLIAMS LAKE, BC",V2G 0A6,1205 Prosperity Way,Williams Lake,CA,BC,South Lakeside Drive (East Of Hodgson Drive),250-305-6899,250-305-6868,52.114659,-122.133808,PST,11/25/2009 00:00,24806,"1205 PROSPERITY WAY, WILLIAMS LAKE, BC V2G 0A6",Karl Ilao,,
1143,Prince Rupert,V8J 3T6,500 2nd Ave W,Prince Rupert,CA,BC,2 Ave. W. & 6 St.,833-812-5537,250-624-8686,54.31274,-130.32684,PST,10/19/2012 00:00,28958,"500 2ND AVE W, PRINCE RUPERT, BC V8J 3T6",Joseph Boucher,,
